"Note: This sheet takes a couple seconds to filter because it is MASSIVE, 
so please be patient and don't change too many settings too quickly",,,,,CR,,Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warlock of the Fiend,Medium,Humanoid,Any Race,Any,7,,x,,,,,,x,,x,,,,,,x,,x,,Volo's Guide to Monsters,219,Infernal Machine Rebuild 57,,Giant Space Hamster,Large,Beast,,Unaligned,1/4,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,56,,,,,,,,,,,
Warlock of the Great Old One,Medium,Humanoid,,Any,6,,x,,,,,,x,,,,,x,x,,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,256,,,Space Hamster,Tiny,Monstrosity,,Neutral Good,1/4,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,56,,,,,,,,,,,
Warlock of the Great Old One,Medium,Humanoid,Any Race,Any,6,,x,,,,,,x,,,,,x,x,,x,,x,,Volo's Guide to Monsters,220,Infernal Machine Rebuild 58,,Space Mollymawk,Small,Beast,,Unaligned,0,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,57,,,,,,,,,,,
Warlock's Trumpetbloom,Large,Plant,,Neutral Evil,7,,,,,,,,,,,x,,,,,,,,,Creature Codex,372,,,Space Swine,Medium,Beast,,Unaligned,1/4,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,57,,,,,,,,,,,
Warlord,Medium,Humanoid,,Any,12,,,x,,,,,,,,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,257,"Volo's Guide to Monsters 220, Infernal Machine Rebuild 58",,Ssurran Defiler,Medium,Monstrosity,Lizardfolk,Any,3,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,58,,,,,,,,,,,
Warmth Thief,Tiny,Fey,,Neutral Evil,9,,,,,,,,x,,,,,,,,,,,,Tome of Beasts 2,366,,,Ssurran Poisoner,Medium,Monstrosity,Lizardfolk,Any,1/2,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,58,,,,,,,,,,,
Warrior of Madarua,Medium,Humanoid,,Chaotic Good,1/8,,,,,,,,,,,,,,,,,,,,Quests from the Infinite Staircase,220,,,Starlight Apparition,Medium,Celestial,,Neutral Good,5,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,59,,,,,,,,,,,
Wasteland Dragon Wyrmling,Medium,Dragon,,Chaotic Evil,3,,,,,,,,,,,,,x,,,,,,,Creature Codex,118,,,Thri-kreen Gladiator,Medium,Monstrosity,,Any,7,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,60,,,,,,,,,,,
Wasteland Dragonnel,Large,Dragon,,Chaotic Good,3,,,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,201,,,Thri-kreen Hunter,Medium,Monstrosity,,Any,2,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,61,,,,,,,,,,,
Wastrilith,Large,Fiend,demon,Chaotic Evil,13,,,,,,,,,x,,,,,,x,x,x,,,Mordenkainen Presents: Monsters of the Multiverse,258,Mordenkainen's Tome of Foes 139,,Thri-kreen Mystic,Medium,Monstrosity,,Any,5,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,61,,,,,,,,,,,
Water Elemental,Large,Elemental,,Neutral,5,,,,,,,,,x,,,,,,x,,x,,,Monster Manual,125,Rise of Tiamat Online Supplement 26,,Vampirate,Medium,Undead,,Lawful Evil,2,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,62,,,,,,,,,,,
Water Elemental Myrmidon,Medium,Elemental,,Neutral,7,,,,,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,123,,,Vampirate Captain,Medium,Undead,,Lawful Evil,6,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,63,,,,,,,,,,,
Water Elemental Myrmidon,Medium,Elemental,,Neutral,7,,,,,,,,ø,ø,,ø,ø,,,ø,ø,ø,ø,ø,Mordenkainen's Tome of Foes,203,Princes of the Apocalypse 213,,Vampirate Mage,Medium,Undead,,Lawful Evil,5,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,63,,,,,,,,,,,
Water Horse,Medium,Fey,Shapechanger,Neutral Evil,4,,,,,,,,,x,,,,,,,,x,,,Creature Codex,373,,,Zodar,Medium,Aberration,,Neutral,16,,,x,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,63,,,,,,,,,,,
Water Leaper,Large,Monstrosity,,Unaligned,4,,,,,,,,,ø,,ø,,,,,,ø,,,Tome of Beasts,406,,,Verin Thelyss,Medium,Humanoid,"Drow, Elf",Lawful Good,5,,x,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,51,,,,,,,,,,,
Water Weird,Large,Elemental,,Neutral,3,,,,,,,,,,,,,,,,ø,ø,ø,,Monster Manual,299,,,Ruidium Elephant,Huge,Construct,,Unaligned,8,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,95,,,,,,,,,,,
Weasel,Tiny,Beast,,Unaligned,0,,,,,,x,,,,,ø,ø,ø,,,,,,,Monster Manual,340,,,Aboleth Spawn,Medium,Aberration,,Lawful Evil,5,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,135,,,,,,,,,,,
Web Troll,Large,Giant,,Chaotic Evil,3,,,,,,,,,,,ø,,,,,ø,,,,Monster a Day Compendium 2.0,214,,,Alyxian the Tormented,Huge,Aberration,,Lawful Evil,11,,,x,x,x,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,178,,,,,,,,,,,
Weeping Treant,Huge,Plant,,Neutral,6,,,,,,,,,,,ø,,,,ø,,,,,Tome of Beasts,388,,,Alyxian the Callous,Large,Celestial,,Lawful Evil,12,,,x,x,x,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,179,,,,,,,,,,,
Weirding Scroll,Tiny,Construct,,Unaligned,1/2,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,376,,,Alyxian the Dispossessed,Medium,Humanoid,Human,Lawful Evil,13,,,x,x,x,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,180,,,,,,,,,,,
Wendigo,Medium,Monstrosity,,Chaotic Evil,11,,,,,,,,x,,,,x,,x,,,,,,Creature Codex,377,,,Alyxian the Absolved,Medium,Humanoid,Human,lawful Good,14,,,x,x,x,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,182,,,,,,,,,,,
Were-Mist,Large,Aberration,,Chaotic Evil,2,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,245,,,Ayo Jabe (Tier 1),Medium,Humanoid,"Ranger, Water Genasi",Chaotic Good,3,,x,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,188,,,,,,,,,,,
Werebat,Medium,Humanoid,"Human, Shapechanger",Lawful Evil,3,,,,,,,,,,,,,,,,,,x,,Creature Codex,258,,,Dermot Wurder (Tier 1),Small,Humanoid,"Cleric, Goblin, Goblinoid)",Lawful Good,3,,x,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,188,,,,,,,,,,,
Werebat,Small,Humanoid,"Goblin, Shapechanger",Neutral Evil,2,,,,,,,,,,,,,,,,ø,,,,Waterdeep: Dungeon of the Mad Mage,317,,,Galsariad Ardyth (Tier 1),Medium,Humanoid,"Drow, Elf, Wizard",Neutral,3,,x,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,188,,,,,,,,,,,
Werebear,Medium,Humanoid,"Shapechanger, Human",Neutral Good,5,,,,,,,,x,,,x,,x,,,,,,,Monster Manual,208,,,Irvan Wastewalker (Tier 1),Medium,Humanoid,Human,Chaotic Neutral,3,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,189,,,,,,,,,,,
Wereboar,Medium,Humanoid,"Shapechanger, Human",Neutral Evil,4,,,,,,,,,,,x,x,x,,,,,,,Monster Manual,209,,,Maggie Keeneyes (Tier 1),Large,Giant,Ogre,Lawful Neutral,3,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,189,,,,,,,,,,,
Weredactyl,Medium,Humanoid,Shapechanger,Neutral Evil,2,,,,,,,,,,,x,x,x,,,,,,,Fifth Edition Foes,246,,,Ayo Jabe (Tier 2),Medium,Humanoid,"Ranger, Water Genasi",Chaotic Good,5,,x,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,190,,,,,,,,,,,
Werehyena,Medium,Humanoid,"Gnoll, Shapechanger",Chaotic Evil,3,,,,,,,,,,,,x,,,,,,x,,Creature Codex,259,,,Galsariad Ardyth (Tier 2),Medium,Humanoid,"Drow, Elf, Wizard",Neutral,5,,x,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,190,,,,,,,,,,,
Wererat,Medium,Humanoid,"Shapechanger, Human",Lawful Neutral,2,,,,,,,,,,,x,,,,,,,,,Monster Manual,209,Infernal Machine Rebuild 92,,Dermot Wurder (Tier 2),Small,Humanoid,"Cleric, Goblin, Goblinoid)",Lawful Good,5,,x,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,191,,,,,,,,,,,
Wereraven,Medium,Humanoid,,Not Provided,2,,,,,,,,,,,ø,ø,ø,,ø,,,ø,,Van Richten's Guide to Ravenloft,253,Curse of Strahd 242,,Irvan Wastewalker (Tier 2),Medium,Humanoid,Human,Chaotic Neutral,5,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,191,,,,,,,,,,,
Wereshark,Large,Humanoid,"Human, Shapechanger",Chaotic Evil,5,,,,,,,,,x,,,,,,,,x,x,,Tome of Beasts 2,247,,,Maggie Keeneyes (Tier 2),Large,Giant,Ogre,Lawful Neutral,5,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,191,,,,,,,,,,,
Weretiger,Medium,Humanoid,"Shapechanger, Human",Neutral,4,,,,,,,,,,x,x,x,,,,,,,,Monster Manual,210,,,Ayo Jabe (Tier 3),Medium,Humanoid,"Ranger, Water Genasi",Chaotic Good,8,,x,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,192,,,,,,,,,,,
Werewolf,Medium,Humanoid,"Shapechanger, Human",Chaotic Evil,3,,,,,,,,,,,x,,x,,,,,,,Monster Manual,211,,,Dermot Wurder (Tier 3),Small,Humanoid,"Cleric, Goblin, Goblinoid)",Lawful Good,8,,x,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,193,,,,,,,,,,,
Werewolf (Krallenhorde),Medium,Humanoid,"human, shapechanger",Chaotic Evil,3,,,,,,,,,,,x,,,,,,,x,,Planeshift: Innistrad,15,,,Galsariad Ardyth (Tier 3),Medium,Humanoid,"Drow, Elf, Wizard",Neutral,8,,x,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,193,,,,,,,,,,,
Werewolf Alpha,Medium,Humanoid,"Shapechanger, Human",Chaotic Evil,9,,,x,,,,,,,,ø,,ø,,,,,,,Monster a Day Compendium 2.0,227,,,Irvan Wastewalker (Tier 3),Medium,Humanoid,Human,Chaotic Neutral,8,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,194,,,,,,,,,,,
Werewowl,Medium,Humanoid,"Elf, Shapechanger",Lawful Evil,5,,,,,,,,,,,x,,,x,,,,x,,Tome of Beasts 2,246,,,Maggie Keeneyes (Tier 3),Large,Giant,Ogre,Lawful Neutral,8,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,194,,,,,,,,,,,
Wersten Kern,Medium,Undead,,Lawful Evil,14,,x,,,x,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,209,,,Alyxian Aboleth,Large,Aberration,,Lawful Evil,12,,,x,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,195,,,,,,,,,,,
Werynax,Large,Monstrosity,,Unaligned,6,,,,,,,,,,,x,x,,,,,,,,Tome of Beasts 2,367,,,Corrupted Giant Shark,Huge,Aberration,,Unaligned,9,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,196,,,,,,,,,,,
Wharfling,Tiny,Beast,,Unaligned,1/8,,,,,,,,,ø,,,,,,,,,ø,,Tome of Beasts,407,,,Death Embrace,Huge,Aberration,,Chaotic Evil,11,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,197,,,,,,,,,,,
Wharfling Swarm,Large,Beast,Swarm,Unaligned,4,,,,,,,,,ø,,,,,,,,,ø,,Tome of Beasts,407,,,Light Devourer,Medium,Aberration,,Unaligned,6,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,200,,,,,,,,,,,
Whirling Chandelier,Large,Construct,,Unaligned,8,,,,,,,,,,,,,,,,,,,,Vecna: Eve of Ruin,239,,,Monastic High Curator,Small or Medium,Humanoid,"Monk, Wizard",Any,10,,x,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,201,,,,,,,,,,,
Whisperer in Darkness,Medium,Aberration,,Neutral Evil,15,,x,,,,,,,,,,,,,,,,,x,Creature Codex,378,,,Monastic Infiltrator,Small or Medium,Humanoid,Monk,Any,6,,x,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,202,,,,,,,,,,,
Whistler,Large,Aberration,,Neutral Evil,9,,,,,,,,,,,,,,,,,,,,Journeys Through the Radiant Citadel,221,,,Monastic Operative,Small or Medium,Humanoid,Monk,Any,5,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,202,,,,,,,,,,,
White Abishai,Medium,Fiend,devil,Lawful Evil,6,,,,,,,,,,,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,41,,,Occult Extollant,Small or Medium,Humanoid,Sorcerer,Any,6,,x,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,204,,,,,,,,,,,
White Abishai,Medium,Fiend,Devil,Lawful Neutral,6,,,,,,,,,,,,,,,,,,x,ø,Mordenkainen's Tome of Foes,163,Baldur's Gate: Descent into Avernus 241,,Occult Initiate,Small or Medium,Humanoid,Sorcerer,Any,2,,x,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,205,,,,,,,,,,,
White Ape,Large,Monstrosity,,Neutral,6,,,,,,,,ø,,,ø,ø,ø,,,,,,,Tome of Beasts,408,,,Occult Silvertongue,Small or Medium,Humanoid,Sorcerer,Lawful Evil,8,,x,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,205,,,,,,,,,,,
White Dracolisk,Large,Dragon,,Unaligned,7,,,,,,,,x,,,,,,x,,x,,,,Fifth Edition Foes,85,,,Scholarly Agent,Small or Medium,Humanoid,Wizard,Any,1,,x,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,206,,,,,,,,,,,
White Dragon Wyrmling,Medium,Dragon,,Chaotic Evil,2,,,,,,,,x,,,,,,,,,,,,Monster Manual,102,,,Scholarly Excavator,Small or Medium,Humanoid,,Any,3,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,206,,,,,,,,,,,
White Maw,Gargantuan,Ooze,,Chaotic Neutral,10,,,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,248,,,Scholarly Mastermind,Small or Medium,Humanoid,Wizard,Any,5,,x,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,207,,,,,,,,,,,
White Stag,Large,Celestial,,Chaotic Good,2,,,,,,,,,,,x,,,,,,,,,Creature Codex,379,,,Scuttling Serpentmaw,Small,Aberration,,Unaligned,4,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,208,,,,,,,,,,,
Whymsee (Kraken Priest Variant),Medium,Humanoid,Human,Neutral Evil,5,,x,,,x,,,,,,,,,,,,,,,Locathah Rising,20,,,Slithering Bloodfin,Large,Aberration,,Unaligned,9,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,209,,,,,,,,,,,
Wicked Skull,Tiny,Monstrosity,Shapechanger,Chaotic Neutral,1/8,,,,,,v,,,,,,,,,,x,,x,,Tome of Beasts 2,368,,,Swarm of Sorrowfish,Medium,Aberration,Swarm,Unaligned,6,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,210,,,,,,,,,,,
Wickerman,Huge,Construct,,Neutral Evil,9,,,,,,,,,,,x,,,,,,,,,Creature Codex,380,,,Sword Wraith Commander,Medium,Undead,,Lawful Evil,8,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,211,,,,,,,,,,,
Widow Creeper,Large,Plant,,Unaligned,10,,,,,,,,,,,x,,,,,,,,,Fifth Edition Foes,247,,,Sword Wraith Warrior,Medium,Undead,,Lawful Evil,3,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,211,,,,,,,,,,,
Wiggan Nettlebee,Small,Humanoid,Halfling,Neutral Evil,2,,x,,,x,,,,,,,,,,,,,,,Princes of the Apocalypse,211,,,Anhkolox,Huge,Undead,,Neutral Evil,9,,,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,192,,,,,,,,,,,
Wight,Medium,Undead,,Neutral Evil,3,,,,,,,,,,x,,,,,x,x,,x,,Monster Manual,300,Rise of Tiamat Online Supplement 27,,Caradoc,Medium,Undead,,Neutral Evil,8,,,,,x,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,193,,,,,,,,,,,
Wight Walker,Medium,Undead,,Neutral Evil,6,,,,,,,,,,ø,,,,,ø,ø,,ø,,Monster a Day Compendium 2.0,228,,,Greater Death Dragon,Huge,Undead,,Chaotic Evil,14,,,x,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,195,,,,,,,,,,,
Will-o-wisp,Tiny,Undead,,Chaotic Evil,2,,,,,,,,,,,x,,,,x,,,x,,Monster Manual,301,,,Lesser Death Dragon,Large,Undead,,Chaotic Evil,10,,,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,195,,,,,,,,,,,
Willowhaunt,Huge,Undead,,Neutral Evil,5,,,,,,,,,,,,,,,x,,,,,Tome of Beasts 2,369,,,Aurak Draconian,Medium,Monstrosity,Sorcerer,Lawful Evil,6,,x,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,196,,,,,,,,,,,
Wind Demon,Small,Fiend,Demon,Chaotic Evil,2,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,93,,,Baaz Draconian,Medium,Monstrosity,,Lawful Evil,1/2,,,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,197,,,,,,,,,,,
Wind Dragon Wyrmling,Medium,Dragon,,Chaotic Neutral,1,,,,,,,,,,,,,,ø,,,,,,Tome of Beasts,145,,,Bozak Draconian,Medium,Monstrosity,Sorcerer,Lawful Evil,2,,x,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,198,,,,,,,,,,,
Wind Eater,Medium,Undead,,Lawful Evil,2,,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,381,,,Kapak Draconian,Medium,Monstrosity,,Lawful Evil,3,,,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,198,,,,,,,,,,,
Wind Weasel,Medium,Fey,Shapechanger,Chaotic Neutral,2,,,,,,,,,,,x,,,,,,,,,Creature Codex,375,,,Sivak Draconian,Large,Monstrosity,,Lawful Evil,4,,,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,199,,,,,,,,,,,
Wind's Harp,Medium,Fiend,Devil,Lawful Evil,4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,105,,,Dragon Army Officer,Medium,Humanoid,,Lawful Evil,3,,,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,200,,,,,,,,,,,
Windfall,Medium,Humanoid,"Tiefling, Bard",Chaotic Evil,23,,x,x,,x,,,,,,,,,,,,,,,Vecna: Eve of Ruin,153,,,Dragon Army Soldier,Medium,Humanoid,,Lawful Evil,1,,,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,200,,,,,,,,,,,
Windharrow,Medium,Humanoid,Half-Elf,Neutral Evil,3,,x,,,x,,,,,,,,,,,,,,,Princes of the Apocalypse,192,,,Dragon Army Dragonnel,Large,Dragon,,Lawful Evil,3,,,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,201,,,,,,,,,,,
Windwalker Wendigo,Huge,Aberration,,Chaotic Evil,16,,x,x,,,,,x,,,,,,,,,,,x,Sandy Petersen's Cthulhu Mythos,396,,,Wasteland Dragonnel,Large,Dragon,,Chaotic Good,3,,,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,201,,,,,,,,,,,
Windy Wailer,Large,Undead,,Neutral Evil,5,,,,,,,,,x,,,,,,,,,,,Tome of Beasts 2,370,,,Istarian Drone,Medium,Construct,,Unaligned,6,,,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,202,,,,,,,,,,,
Winged Ape,Medium,Monstrosity,,Neutral,2,,,,,,,,,,,,,,ø,,,,,,Monster a Day Compendium 2.0,229,,,Kalaman Soldier,Small or Medium,Humanoid,,Any,1/2,,,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,202,,,,,,,,,,,
Winged Bull,Large,Celestial,,Unaligned,4,,,,,,,,,,,,,,,,,,,x,Mythic Odysseys of Theros,214,,,Kansaldi Fire-Eyes,Medium,Humanoid,"Human, Cleric",Lawful Evil,11,,x,,,x,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,203,,,,,,,,,,,
Winged Kobold,Small,Humanoid,Kobold,Lawful Neutral,1/4,,,,,,,,x,x,x,x,,x,x,x,x,,x,,Monster Manual,195,,,Kender Skirmisher,Small,Humanoid,,Any,1/4,,,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,204,,,,,,,,,,,
Winged Lion,Large,Celestial,,Unaligned,4,,,,,,,,,,,,,,,,,,,x,Mythic Odysseys of Theros,214,,,Lohezet,Medium,Humanoid,"Human, Wizard",Neutral Evil,12,,x,,,x,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,205,,,,,,,,,,,
Winged Sliver,Large,Monstrosity,Sliver,Neutral Evil,3,,,,,,,,,ø,,ø,ø,ø,ø,ø,ø,,,,Monster a Day Compendium 2.0,189,,,Lord Soth,Medium,Undead,Paladin,Lawful Evil,19,,x,x,,x,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,206,Vecna: Eve of Ruin 246,,,,,,,,,,
Winged Thrull,Small,Construct,,Unaligned,1/2,,,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,221,,,Red Ruin,Medium,Humanoid,,Lawful Evil,10,,,,,x,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,208,,,,,,,,,,,
Winter Eladrin,Medium,Fey,elf,Chaotic Neutral,10,,x,,,,,,x,,,x,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,117,,,Skeletal Knight,Medium,Undead,,Lawful Evil,7,,,,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,208,,,,,,,,,,,
Winter Eladrin,Medium,Fey,Elf,Chaotic Neutral,10,,x,,,,,,x,,,x,,,,,,,,,Mordenkainen's Tome of Foes,197,,,Wersten Kern,Medium,Undead,,Lawful Evil,14,,x,,,x,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,209,,,,,,,,,,,
Winter Sprite,Tiny,Fey,,Neutral,1,,x,,,,,,ø,,,,,,,,,,,,Monster a Day Compendium 2.0,230,,,Andir Valmakos,Medium,Humanoid,"Sidekick, Human",Chaotic Good,1,,x,,,x,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,210,,,,,,,,,,,
Winter Wolf,Large,Monstrosity,,Neutral Evil,3,,,,,,,,x,,,x,,x,,,,,,,Monster Manual,340,,,Ayik Ur,Medium,Humanoid,"Sidekick, Human",Neutral Good,1,,,,,x,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,211,,,,,,,,,,,
Winterghast,Medium,Undead,,Chaotic Evil,4,,,,,,,,x,,,,,,,,,,,,Tome of Beasts 2,371,,,Hrigg Roundrook,Medium,Humanoid,"Sidekick, Dwarf",Lawful Good,1,,x,,,x,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,211,,,,,,,,,,,
Wintergrim,Small,Fey,,Chaotic Good,1/2,,x,,,,,,x,,,,,,,,,,,,Tome of Beasts 2,372,,,Iriad,Medium,Humanoid,"Sidekick, Elf",Chaotic Good,1,,,,,x,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,212,,,,,,,,,,,
Wirbeln Fungi,Small,Plant,,Lawful Neutral,1,,,,,,,,,,,x,,,,x,x,,,,Creature Codex,166,,,Levna Drakehorn,Medium,Humanoid,"Sidekick, Human",Lawful Good,1,,,,,x,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,213,,,,,,,,,,,
Witch Grass,Small,Plant,,Unaligned,0,,,,,,,,,,,x,x,x,,x,,,,,Fifth Edition Foes,248,,,Temp Temble,Small,Humanoid,"Sidekick, Kender",Chaotic Good,1,,x,,,x,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,213,,,,,,,,,,,
Witch of the Woods,Medium,Humanoid,Any race,Any Chaotic or Evil,7,,x,,,,,,x,,,,,x,,,,,,,Sandy Petersen's Cthulhu Mythos,407,,,Wynling,Tiny,Fey,,Chaotic Neutral,1/2,,,,,,,,,,,,,,,,,,,,Journeys Through the Radiant Citadel,33,,,,,,,,,,,
Witch Queen,Small,Humanoid,Derro,Chaotic Evil,5,,x,,,,,,,,,,,,,,x,,,,Creature Codex,97,,,Soul Shaker,Large,Undead,,Chaotic Evil,4,,,,,,,,,,,,,,,,,,,,Journeys Through the Radiant Citadel,47,,,,,,,,,,,
Witchlight,Tiny,Construct,,Neutral,1/4,,,,,,o,,,,,ø,,ø,ø,ø,ø,,,,Tome of Beasts,409,,,Tlacatecolo,Medium,Fiend,Demon,Neutral Evil,5,,,,,,,,,,,,,,,,,,,,Journeys Through the Radiant Citadel,65,,,,,,,,,,,
Witchlight Hands,Medium,Humanoid,,Any,1/8,,x,,,,,,,,,,,,,,,,,x,The Wild Beyond The Witchlight,27,,,Aurumvorax,Small,Monstrosity,,Unaligned,2,,,,,,,,,,,,,,,,,,,,Journeys Through the Radiant Citadel,105,,,,,,,,,,,
Witchlight Hands,Small,Humanoid,,Any,1/8,,x,,,,,,,,,,,,,,,,,x,The Wild Beyond The Witchlight,27,,,Aurumvorax Den Leader,Medium,Monstrosity,,Unaligned,4,,,,,,,,,,,,,,,,,,,,Journeys Through the Radiant Citadel,105,,,,,,,,,,,
Witherbloom Apprentice,Medium,Humanoid,Sorcerer,Any,2,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,221,,,Tlexolotl,Huge,Elemental,,Neutral,10,,,,,,,,,,,,,,,,,,,,Journeys Through the Radiant Citadel,119,,,,,,,,,,,
Witherbloom Apprentice,Small,Humanoid,Sorcerer,Any,2,,x,,,,,,,,,,,,,,,,ø,,Strixhaven: A Cirriculum of Chaos,221,,,Riverine,Large,Fey,,Any,12,,,x,x,,,,,,,,,,,,,,,,Journeys Through the Radiant Citadel,133,,,,,,,,,,,
